COMMON FISH NAME,CB's Recommended Fish Food,Temperament,Coral Safety,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Feeding Difficulty,Feeding Times per Day,Typical Color,Community Suitability,Temperature Range,Salinity Range,Water PH,Origin,Scientific Name,QR,SKU
Crab Red Leg Hairy Hermit,"Arcti Pods, ROE, Tigger Pods","Semi-aggressive - larger, may prey on snails/smaller hermits",Not reef safe,2-3 Inches,30 Gallon,2-4 Years,Beneficial,Easy,Scavenger - grazes continuously,"Red/orange hairy legs, tan body","Caution - larger and bolder than reef leg hermit, watch with small inverts",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Dardanus sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Crab Red Leg Hairy Hermit.html,852263H
Crab Red Leg Hermit,"Arcti Pods, ROE, Tigger Pods",Peaceful scavenger/algae grazer,Reef safe,1 Inches,10 Gallon,1-3 Years,Beneficial,Easy,Continuous grazer,"Bright red legs, tan body",Excellent - reliable cleanup crew member,76-82°F,1.023-1.025,8.1-8.4,Caribbean,Paguristes cadenati,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Crab Red Leg Hermit.html,696086Q
Crab Sally Lightfoot,"Arcti Pods, ROE, Tigger Pods","Semi-aggressive, territorial with own kind",Reef safe,2 Inches,20 Gallon,2-4 Years,No,Easy,"Daily grazing, supplement 2-3x/week","Bright green body, hairy legs",Good - excellent bubble-algae control; keep one per tank,76-82°F,1.023-1.025,8.1-8.4,Caribbean,Mithraculus sculptus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Crab Sally Lightfoot.html,CR03
Crab Scarlet Hermit,"Arcti Pods, ROE, Tigger Pods","Peaceful, may fight over empty shells",Reef safe,1 Inches,10 Gallon,1-3 Years,Beneficial,Easy,Continuous grazer,Scarlet red body and legs,Excellent - provide extra shells to prevent snail predation,76-82°F,1.023-1.025,8.1-8.4,Caribbean,Paguristes cadenati,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Crab Scarlet Hermit.html,CR13
Scallops,Phyto Feast,"Peaceful, sessile filter feeder",Reef safe,2-3 Inches,30 Gallon (mature tanks),6 Months to 2 Years,No - wedges into rock crevice,Moderate,Multiple times daily (continuous drip preferred),Bright red-orange mantle with white tentacles,"Caution - expert only, high mortality rate, needs mature system",76-82°F,1.023-1.025,8.1-8.4,Caribbean / Western Atlantic,Lima scabra (Flame Scallop),https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Scallops.html,9109596
Shrimp Cleaner (Large),"Arcti Pods, ROE, Tigger Pods","Peaceful, semi-social, cleans parasites off fish",Reef safe,2-3 Inches,20 Gallon,2-3 Years,No,Easy,2-3x per week supplement,"White body with red stripe, white antennae","Excellent - popular cleaner station shrimp, best kept in pairs",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Lysmata amboinensis,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Cleaner (Large).html,SP03
Shrimp Cleaner (Medium),"Arcti Pods, ROE, Tigger Pods","Peaceful, semi-social, cleans parasites off fish",Reef safe,2-3 Inches,20 Gallon,2-3 Years,No,Easy,2-3x per week supplement,"White body with red stripe, white antennae","Excellent - popular cleaner station shrimp, best kept in pairs",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Lysmata amboinensis,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Cleaner (Medium).html,SP02
Shrimp Cleaner (Small),"Arcti Pods, ROE, Tigger Pods","Peaceful, semi-social, cleans parasites off fish",Reef safe,2-3 Inches,20 Gallon,2-3 Years,No,Easy,2-3x per week supplement,"White body with red stripe, white antennae","Excellent - popular cleaner station shrimp, best kept in pairs",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Lysmata amboinensis,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Cleaner (Small).html,SP01
Shrimp Clown (Large),Starfish,"Peaceful, specialized predator of small echinoderms",Reef safe (preys on small starfish/urchins),1 Inches,10 Gallon,1-2 Years,No,Difficult - specialized diet,2-3x per week,White/tan body with red-orange banded spots,"Caution - specialized diet, uncommon in trade, experienced keepers",76-82°F,1.023-1.025,8.1-8.4,Caribbean / Indo-Pacific,Gnathophyllum americanum,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Clown (Large).html,SP06
Shrimp Clown (Medium),Starfish,"Peaceful, specialized predator of small echinoderms",Reef safe (preys on small starfish/urchins),1 Inches,10 Gallon,1-2 Years,No,Difficult - specialized diet,2-3x per week,White/tan body with red-orange banded spots,"Caution - specialized diet, uncommon in trade, experienced keepers",76-82°F,1.023-1.025,8.1-8.4,Caribbean / Indo-Pacific,Gnathophyllum americanum,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Clown (Medium).html,SP05
Shrimp Clown (Small),Starfish,"Peaceful, specialized predator of small echinoderms",Reef safe (preys on small starfish/urchins),1 Inches,10 Gallon,1-2 Years,No,Difficult - specialized diet,2-3x per week,White/tan body with red-orange banded spots,"Caution - specialized diet, uncommon in trade, experienced keepers",76-82°F,1.023-1.025,8.1-8.4,Caribbean / Indo-Pacific,Gnathophyllum americanum,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Clown (Small).html,SP04
Shrimp Coral Banded (Large),"Arcti Pods, ROE, Tigger Pods",Aggressive toward own kind and similar shrimp; semi-aggressive with small fish,Reef safe,2-3 Inches,20 Gallon,3-5 Years,No,Easy,2-3x per week,"Red and white banding, long white antennae",Good - keep one per tank unless a mated pair,76-82°F,1.023-1.025,8.1-8.4,Circumtropical,Stenopus hispidus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Coral Banded (Large).html,SP09
Shrimp Coral Banded (Medium),"Arcti Pods, ROE, Tigger Pods",Aggressive toward own kind and similar shrimp; semi-aggressive with small fish,Reef safe,2-3 Inches,20 Gallon,3-5 Years,No,Easy,2-3x per week,"Red and white banding, long white antennae",Good - keep one per tank unless a mated pair,76-82°F,1.023-1.025,8.1-8.4,Circumtropical,Stenopus hispidus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Coral Banded (Medium).html,SP08
Shrimp Coral Banded (Small),"Arcti Pods, ROE, Tigger Pods",Aggressive toward own kind and similar shrimp; semi-aggressive with small fish,Reef safe,2-3 Inches,20 Gallon,3-5 Years,No,Easy,2-3x per week,"Red and white banding, long white antennae",Good - keep one per tank unless a mated pair,76-82°F,1.023-1.025,8.1-8.4,Circumtropical,Stenopus hispidus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Coral Banded (Small).html,SP07
Shrimp Fire (Large),"Arcti Pods, ROE, Tigger Pods","Peaceful, shy/nocturnal",Reef safe,2-3 Inches,20 Gallon,2-3 Years,No,Easy,2-3x per week,"Deep red body, white-spotted legs, white antennae","Good - needs hiding spots, sensitive to poor water quality",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Lysmata debelius,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Fire (Large).html,SP12
Shrimp Fire (Medium),"Arcti Pods, ROE, Tigger Pods","Peaceful, shy/nocturnal",Reef safe,2-3 Inches,20 Gallon,2-3 Years,No,Easy,2-3x per week,"Deep red body, white-spotted legs, white antennae","Good - needs hiding spots, sensitive to poor water quality",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Lysmata debelius,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Fire (Medium).html,SP11
Shrimp Fire (Small),"Arcti Pods, ROE, Tigger Pods","Peaceful, shy/nocturnal",Reef safe,2-3 Inches,20 Gallon,2-3 Years,No,Easy,2-3x per week,"Deep red body, white-spotted legs, white antennae","Good - needs hiding spots, sensitive to poor water quality",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Lysmata debelius,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Fire (Small).html,SP10
Shrimp Harlequin (Large),"Starfish, Asterina","Peaceful with fish, predatory on starfish","Reef safe (will eat starfish, including reef-safe species)",2 Inches,20 Gallon,2-3 Years,No,Very difficult - requires steady live starfish supply,"Every few days, depending on starfish size",White/lavender body with large purple-ringed spots,"Caution - expert only, obligate starfish predator, keep in pairs",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Hymenocera picta,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Harlequin (Large).html,SP15
Shrimp Harlequin (Medium),"Starfish, Asterina","Peaceful with fish, predatory on starfish","Reef safe (will eat starfish, including reef-safe species)",2 Inches,20 Gallon,2-3 Years,No,Very difficult - requires steady live starfish supply,"Every few days, depending on starfish size",White/lavender body with large purple-ringed spots,"Caution - expert only, obligate starfish predator, keep in pairs",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Hymenocera picta,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Harlequin (Medium).html,SP14
Shrimp Harlequin (Small),"Starfish, Asterina","Peaceful with fish, predatory on starfish","Reef safe (will eat starfish, including reef-safe species)",2 Inches,20 Gallon,2-3 Years,No,Very difficult - requires steady live starfish supply,"Every few days, depending on starfish size",White/lavender body with large purple-ringed spots,"Caution - expert only, obligate starfish predator, keep in pairs",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Hymenocera picta,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Harlequin (Small).html,SP13
Shrimp Peppermint (Large),"Arcti Pods, ROE, Tigger Pods",Peaceful,"Reef safe - beneficial, preys on Aiptasia anemones",1.5-2 Inches,10 Gallon,1-2 Years,No,Easy,"Scavenger, supplement 2x/week",Translucent tan/red striped body,Excellent - go-to biological control for Aiptasia,76-82°F,1.023-1.025,8.1-8.4,Caribbean / Western Atlantic,Lysmata wurdemanni,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Peppermint (Large).html,SP18
Shrimp Peppermint (Medium),"Arcti Pods, ROE, Tigger Pods",Peaceful,"Reef safe - beneficial, preys on Aiptasia anemones",1.5-2 Inches,10 Gallon,1-2 Years,No,Easy,"Scavenger, supplement 2x/week",Translucent tan/red striped body,Excellent - go-to biological control for Aiptasia,76-82°F,1.023-1.025,8.1-8.4,Caribbean / Western Atlantic,Lysmata wurdemanni,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Peppermint (Medium).html,SP17
Shrimp Peppermint (Small),"Arcti Pods, ROE, Tigger Pods",Peaceful,"Reef safe - beneficial, preys on Aiptasia anemones",1.5-2 Inches,10 Gallon,1-2 Years,No,Easy,"Scavenger, supplement 2x/week",Translucent tan/red striped body,Excellent - go-to biological control for Aiptasia,76-82°F,1.023-1.025,8.1-8.4,Caribbean / Western Atlantic,Lysmata wurdemanni,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Peppermint (Small).html,SP16
Shrimp Pistol (Large),"Arcti Pods, ROE, Tigger Pods",Peaceful but territorial; loud snapping claw,"Reef safe (digs burrows, may rearrange sand/rock)",2 Inches,20 Gallon,3-5 Years,Yes - required for burrowing,Easy,2-3x per week,"Variable - tan, orange, or tiger-striped",Good - forms symbiotic pair with watchman gobies,76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Alpheus sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Pistol (Large).html,SP21
Shrimp Pistol (Medium),"Arcti Pods, ROE, Tigger Pods",Peaceful but territorial; loud snapping claw,"Reef safe (digs burrows, may rearrange sand/rock)",2 Inches,20 Gallon,3-5 Years,Yes - required for burrowing,Easy,2-3x per week,"Variable - tan, orange, or tiger-striped",Good - forms symbiotic pair with watchman gobies,76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Alpheus sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Pistol (Medium).html,SP20
Shrimp Pistol (Small),"Arcti Pods, ROE, Tigger Pods",Peaceful but territorial; loud snapping claw,"Reef safe (digs burrows, may rearrange sand/rock)",2 Inches,20 Gallon,3-5 Years,Yes - required for burrowing,Easy,2-3x per week,"Variable - tan, orange, or tiger-striped",Good - forms symbiotic pair with watchman gobies,76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Alpheus sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Pistol (Small).html,SP19
Shrimp Sexy (Large),"Arcti Pods, ROE, Tigger Pods","Peaceful, tiny",Reef safe - often lives among anemones/corals,0.5 Inches,10 Gallon (nano friendly),1-2 Years,No,Easy,Daily micro feeding,Brown/tan with white spots; characteristic body-waving motion,"Excellent - nano tank favorite, may be eaten by larger fish",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific / Caribbean,Thor amboinensis,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Sexy (Large).html,SP24
Shrimp Sexy (Medium),"Arcti Pods, ROE, Tigger Pods","Peaceful, tiny",Reef safe - often lives among anemones/corals,0.5 Inches,10 Gallon (nano friendly),1-2 Years,No,Easy,Daily micro feeding,Brown/tan with white spots; characteristic body-waving motion,"Excellent - nano tank favorite, may be eaten by larger fish",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific / Caribbean,Thor amboinensis,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Sexy (Medium).html,SP23
Shrimp Sexy (Small),"Arcti Pods, ROE, Tigger Pods","Peaceful, tiny",Reef safe - often lives among anemones/corals,0.5 Inches,10 Gallon (nano friendly),1-2 Years,No,Easy,Daily micro feeding,Brown/tan with white spots; characteristic body-waving motion,"Excellent - nano tank favorite, may be eaten by larger fish",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific / Caribbean,Thor amboinensis,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Shrimp Sexy (Small).html,SP22
Snail Assassin,"Algae, Diatoms, Pests",Peaceful algae grazer,Reef safe,1 Inches,10 Gallon,1-2 Years,No - grazes glass/rock,Easy,Continuous grazer,"Distinct, conical yellow and dark brown striped shell",Good - excellent glass/rock algae cleaner; can get stuck upside down,76-82°F,1.023-1.025,8.1-8.4,Southeast Asia,Anentome helena,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Assassin.html,729459H
Snail Astrea,"Algae, Diatoms",Peaceful algae grazer,Reef safe,1 Inches,10 Gallon,1-2 Years,No - grazes glass/rock,Easy,Continuous grazer,Grey/tan conical shell,Good - excellent glass/rock algae cleaner; can get stuck upside down,76-82°F,1.023-1.025,8.1-8.4,Caribbean,Astraea tecta,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Astrea.html,HT1856
Snail Bumble Bee,"Eats vermetid snails, Mysis shrimp","Peaceful scavenger, burrows in sand",Reef safe with caution,1 Inches,10 Gallon,1-2 Years,"Yes - required, burrows during the day",Easy,Continuous grazer,Black-and-yellow striped shell resembling a bumblebee,Best known for its ability to hunt and consume pest vermetid snails,76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Engina mendicaria,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Bumble Bee.html,244201H
Snail Cerith,"Algae, Diatoms",Peaceful sand/detritus sifter,Reef safe,1 Inches,10 Gallon,1-2 Years,Yes - beneficial,Easy,Continuous grazer,Brown/tan elongated spiral shell,"Excellent - nocturnal sand-bed cleaner, breeds readily",76-82°F,1.023-1.025,8.1-8.4,Caribbean / Indo-Pacific,Cerithium sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Cerith.html,HT1860
Snail Margarita,"Algae, Diatoms",Peaceful algae grazer,Reef safe,1 Inches,10 Gallon,1 year,No,"Moderate - prefers cooler water, doesn't thrive long-term at reef temps",Continuous grazer,Grey-green ridged shell,"Caution - best suited to cooler/FOWLR tanks, short-lived in warm reefs",76-82°F,1.023-1.025,8.1-8.4,Eastern Pacific (cold water species),Margarites pupillus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Margarita.html,HT1857
Snail Nassarius,"Algae, Diatoms","Peaceful scavenger, burrows in sand",Reef safe,1 Inches,10 Gallon,2-3 Years,"Yes - required, burrows during the day",Easy,Scavenger - active mainly at feeding,Tan/grey elongated shell,"Excellent - top sand-sifter/scavenger, emerges quickly at feeding time",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Nassarius sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Nassarius.html,HT1861
Snail Nerite,"Algae, Diatoms",Peaceful algae grazer,Reef safe,1 Inches,10 Gallon,1-2 Years,No,Easy,Continuous grazer,Variable patterned shell (striped/spotted),"Excellent - won't reproduce in full saltwater, reliable algae control",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific / Caribbean,Nerita sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Nerite.html,SN09
Snail Red Onion,"Algae, Diatoms",Peaceful algae grazer,Reef safe,1 Inches,10 Gallon,1-2 Years,No,Easy,,Dark Red patterned shell,"Highly valued for its striking dark red, patterned shell and exceptional algae-eating capabilities.",1.023-1.025,8.1-8.4,,76-82°F,Vittina semiconica,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Red Onion.html,926654J
Snail Tiger Turbo,"Algae, Diatoms",Peaceful algae grazer,Reef safe with caution - can topple small frags while climbing,2-3 Inches,20 Gallon,2-5 Years,No,Easy,Continuous grazer,Grey-green textured shell,Good - voracious algae eater; best in larger tanks due to bulldozing risk,76-82°F,1.023-1.025,8.1-8.4,Eastern Pacific / Gulf of California,Turbo fluctuosa,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Tiger Turbo.html,SN13
Snail Trochus,"Algae, Diatoms",Peaceful algae grazer,Reef safe,1-1.5 Inches,10 Gallon,2-3 Years,No,Easy,Continuous grazer,"Conical, tan/cream with brown mottling","Excellent - can right itself if flipped, great glass cleaner",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Trochus sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Snail Trochus.html,SN11
Starfish Blue Linkia,"Algae, Diatoms","Peaceful, nocturnal scavenger",Reef safe,10 Inches,50 Gallon,6-8 Years,No,Easy,Continuous grazer,Distinctive cylindrical arms and rich blue hue,"They require pristine, highly stable water conditions. They are highly sensitive to sudden shifts in salinity or temperature and cannot tolerate copper-based medications.",76-82°F,1.023-1.025,8.1-8.4,[Indo-Pacific,Linckia laevigata,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Starfish Blue Linkia.html,906012W
Starfish Brittle,"Arcti Pods, ROE, Tigger Pods, Krill","Peaceful, nocturnal scavenger",Reef safe,6-8 Inches arm span,20 Gallon,3-5 Years,"Beneficial, not required - shelters in rockwork",Easy,2-3x per week,"Brown/tan, mottled pattern","Excellent - great detritivore, reclusive/nocturnal; avoid housing with Harlequin Shrimp",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific / Caribbean (species dependent),Ophiocoma sp. / Ophioderma sp.,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Starfish Brittle.html,ST01
Starfish Chocolate Chip,"Arcti Pods, ROE, Tigger Pods, Krill",Peaceful but predatory on sessile inverts,"Not reef safe - eats coral, clam mantles, sponges & other sessile inverts",8-12 Inches,50 Gallon,3-5 Years,Yes - needs a deep sand bed to forage across,Easy,2-3x per week,Tan/beige body with dark brown conical spines,"Caution - not reef safe, FOWLR/predator tanks only",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Protoreaster nodosus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Starfish Chocolate Chip.html,ST02
Starfish Red Brittle,"Arcti Pods, ROE, Tigger Pods, Krill","Peaceful, nocturnal scavenger",Reef safe,6-10 Inches arm span,20 Gallon,3-5 Years,"Beneficial, not required - shelters in rockwork",Easy,2-3x per week,Bright red/orange arms and disc,"Excellent - hardy nocturnal scavenger, colorful addition",76-82°F,1.023-1.025,8.1-8.4,Caribbean / Indo-Pacific,Ophioderma sp. (red color variant),https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Starfish Brittle.html,ST03
Starfish Serpent,"Arcti Pods, ROE, Tigger Pods, Krill","Peaceful, mildly predatory scavenger",Reef safe,8-12 Inches arm span,30 Gallon,3-5 Years,"Beneficial, not required",Easy,2-3x per week,Banded tan/brown arms with patterned disc,"Good - fast, active scavenger; may occasionally snag very small sleeping fish",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Ophiolepis superba (Common/Superb Serpent Star),https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Starfish Serpent.html,ST04
Starfish White Sand Sifting,"Arcti Pods, ROE, Tigger Pods, Krill","Peaceful, active sand sifter",Reef safe,4-6 Inches,40 Gallon (large sand bed needed),6 Months-2 Years,Yes - deep sand bed essential,"Moderate to Difficult - rapidly depletes sand bed life, needs mature/large system",Continuous forager; supplement 2-3x/week in smaller systems,"Pale grey/white/tan, textured spines","Caution - needs a large, mature sand bed (100+ gal ideal), commonly starves in smaller reef tanks",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Archaster typicus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Starfish White Sand Sifting.html,ST05
